hash,createDB,sizeResult,buildTime
16a1a0d4cba324213364babc8bf6026da1525799b39b2a35d063a6ca34c7255ce12ed7c05513b74a56ce3b056618f934ee92c1c5716c143c0cd1d6ede6c0d2e9,1,232,0:04:03.646364_2022_07_23_16_46_37
be3e2b3b1280cc33f7051a19d0a16e5e6a158ae91a6cf34a8ba92fc90fbbc084130039134febc5c9de70a85e04644b1a51222867de80ede6bad1a270ec64fda6,1,37,0:00:37.164513_0
280fe97dfea07293b32337e41a026fc3ebc50d4b2a5215b08645c2ebe655a575838f07b39fd094e7fe9b77fa8e8501c6c5edc33833137f1fde2780a75d5f806e,1,228,0:01:50.170538_2022_07_23_16_53_36
b51cb8a77172ca4e2f6eb0b65b131507acac2cce8b881a8deb93a2fb9d8a09837c9c8fd4544c017f048e26b80716fb5e0c1bd1ef81c1d768ff69808bb0cd701d,1,363,0:01:16.360147_2022_07_23_16_56_23
277f6e244ac670476228c122a87cf1168ebea1e61ece57a4ca09f062cfe98ff47e95f57cfe00e3e74bb738186abe61f16856d1805aab2694b44614fbe7927ceb,1,37,0:04:26.263496_0
c3512cd6eedc012c1924c6a0e6b857b3d15d3e438733a02a9415c5bfa6438c375ba5a7207bd15fba3eb993c4124d86bcc0a9ad7e160a95d92c9341a113cf388b,1,37,0:03:38.797591_0
3b2a47f5c25a565d7c1441e259cb03050b4896bebdb6ae944df6a236d084641cecfe5a4bccedffb698483282a800197e9a8f7689593db50b06bdfb404a68d809,1,37,0:02:00.118799_0
8161ee305c0b213b4582c5ea798b32797a073449b61529e4f77fd7e920aa7cf4b6ccf28d05fcc4c5a8282532624753db4f22354302463735a307b0dc25baa032,1,6074,0:05:06.365399_2022_07_23_18_38_01
5c532e525b7f6029ce99cdeebd8a53e28e673693198ed41e70e4e7c15809807c34d94ab2853e653f629a7c10cead582c9a6723bbfcb063ed76e5c4f4a2e8a197,1,37,0:01:09.597033_0
511cb5bab2f97dfe12eff1e07e2ebde9914ae7f5c080765fa313bc3cc8ddbce29f11b88ee5e5d839e2c11f1a6970ca66c3f9b545cdfa7debb6d24894d177020e,1,37,0:02:33.379007_0
94badb97661cdc6ef69ca4f1a721cbab8acbe95ebe87336fcbb2c5aa319c6e64b5c288d34b41fdfc12cb4043ff9b372a46036ed8746ced13b802c9ade467436f,1,495,0:02:59.444156_2022_07_23_19_17_51
914255c696be9529eded786488fd149cea52e13daf1da980ca5344595e7da7aa75a47a909104c4b99521236aaf4adf99d161669df67e7300a8657694665bb81b,1,565,0:01:07.756741_2022_07_23_19_20_36
08ecc0d37f3b8edb6d88eb638535bfc8c348df9f9ff4d3f587be641a2254ab52c478662e5a7c74d79335441078897aca75c4559e8947054b4c8a8dc3cdaefed4,1,37,0:01:26.824975_0
d5909ae83904cc832f6751e2a03742fd66f5c682516639da55a58b283a8a9f1a1d64bab1d5522de5c410a8f7118da39469de4d6eb3552810525481931f898778,1,37,0:00:50.967173_0
9c2b09875dd1480949b3161d61a06245c5a7f401d053579bf6e04711994a4b9a93fb5bdefc8d5a442d1b8276df7888b857fe13a432338035623c24a63b6afad2,1,37,0:02:51.143410_0
cda1e8c4b228ee2b3b5d677506be4908cb1e3b8c11e058bf2fcb0cef2655b118df568aa7ffb32441d77b8c49e4f7c2f15045f63f2cd49ee09a0e76e482bc9646,1,3822,0:01:36.166347_2022_07_23_19_34_41
821cfe32d35d3b200e0bc60cf1a62c8980ded3b7a5b3ddf90ddce37280283cf6886782d8bf23f7bb05ff4677277fdff5fa7272ec280538759af86d8f8170f93c,1,821,0:04:08.837629_2022_07_23_19_41_29
301aed952a0c71123441021f6ebc8b879f3905be98336f52dc939fe60aa61f1cc19ecd9dbe83ca65b2920a843c1d91e09257b025616c278079569aa0f43f1f10,1,37,0:02:56.718004_0
77053b797d33ed2ba35524761d0c42f887427788a6aa1e1baad25fbf7ea4e103bdf639df1b3872695da20a62975b09c00b5075586d4b20aaba96afd2ec92eb18,1,37,0:04:57.197407_0
660529410485d0d5820306f21e38a91bc65334345f3701cd7ab4191fa81703aeda8d07e41228fcb9ab6a67aa49640c8a4edf5ca78cd7d09f16dbd4b1c2ccf4f3,1,37,0:02:24.229431_0
3a10ccc1275f32e2bb92e0c8029b88b254ee5de2e5f889732c2585e50cc65152755c53502e35a919004c5cad6e192a61696faeb38a1a1128fb9b159b5cf75b22,1,260,0:01:16.975190_2022_07_23_20_10_05
b17a758ecbed055c8d0ec54125beaf992acee537be31ea2affb24ee55227ac85cc34fdcfa1c664596c096eab95ae600603bb24eda4ad0f4f5af1cffcafb0dc6c,1,2846,0:05:19.976675_2022_07_23_20_26_49
8ff9e313e9823bc44437974ad9603bb3269fa1f516d485d1f299a05a76ca702a0bc927fd08892cd387be106ce120080a1cfe322d708aff97e4c89236fa6412ac,1,3914,0:07:41.670479_2022_07_23_20_52_00
79c921ca5fbcb9fc47a8022096515aae68f37803593ea352ee2d3e02b3aa54fd818889598635b7d72ba1eac3f874539c0429b0fcdca0c295c64d7de9f181a3d8,1,6782,0:02:56.497276_2022_07_23_21_07_18
9cf2aaa59147ed4b6ccd08600e69e6959495644d2105afc85a222a7610a420ed0fdce26789dd2089179ebfc804a5679964cec94fd827d3c77d093dd1ae0ecc69,1,37,0:02:04.743060_0
9618729a50bbcc0fdfabdf12310d8e3324048616d65ac4fa4b0b2b534d35e45a4e0d52a421c112eec3b54d386d4e559764afd64d5d42e19b88803e3f48921c6e,1,18220,0:04:30.073536_2022_07_24_17_34_22
